Year,State,Total_of_Accident,Total_of_Accident_Death,Total_of_Major_Accident,Total_of_Minor_Accident,Total_of_Damaged_Vehicle,Total_of_Death,Total_of_Major_Injured,Total_of_Minor_Injured,Latitude,Longitude
2011,Perlis,1791,73,231,246,1241,79,259,288,6.4436,100.2166
2011,Kedah,19699,506,499,1023,17671,515,608,1329,6.072719,100.654769
2011,Pulau Pinang,37158,375,160,320,36303,392,197,380,5.2852,100.4562
2011,Perak,33506,739,700,1267,30800,811,898,1631,4.5921,101.0901
2011,Selangor,128876,1015,457,689,126715,1070,566,807,3.5199,101.5381
2011,Kuala Lumpur,58795,230,83,497,57985,236,83,498,3.139,101.6869
2011,Negeri Sembilan,21157,343,444,945,19425,374,568,1221,2.7318,102.2525
2011,Melaka,14720,224,147,382,13967,240,195,509,2.320772,102.263095
2011,Johor,59501,1001,366,1007,57127,1073,492,1254,1.9344,103.3587
2011,Pahang,19001,485,255,403,17858,563,447,661,3.9743,102.4381
2011,Kelantan,9603,343,620,1437,7203,392,800,1819,5.593577,102.100188
2011,Terengganu,10684,274,251,349,9810,292,317,509,4.957655,102.943021
2011,Sabah,16585,350,428,467,15340,398,552,833,5.4204,116.7968
2011,Sarawak,17964,391,234,406,16933,442,346,626,2.623532,113.612634
