Year,State,Total_of_Accident,Total_of_Accident_Death,Total_of_Major_Accident,Total_of_Minor_Accident,Total_of_Damaged_Vehicle,Total_of_Death,Total_of_Major_Injured,Total_of_Minor_Injured,Latitude,Longitude
2011,Perlis,1791,73,231,246,1241,79,259,288,6.4436,100.2166
2011,Kedah,19699,506,499,1023,17671,515,608,1329,6.072719,100.654769
2011,Pulau Pinang,37158,375,160,320,36303,392,197,380,5.2852,100.4562
2011,Perak,33506,739,700,1267,30800,811,898,1631,4.5921,101.0901
2011,Selangor,128876,1015,457,689,126715,1070,566,807,3.5199,101.5381
2011,Kuala Lumpur,58795,230,83,497,57985,236,83,498,3.139,101.6869
2011,Negeri Sembilan,21157,343,444,945,19425,374,568,1221,2.7318,102.2525
2011,Melaka,14720,224,147,382,13967,240,195,509,2.320772,102.263095
2011,Johor,59501,1001,366,1007,57127,1073,492,1254,1.9344,103.3587
2011,Pahang,19001,485,255,403,17858,563,447,661,3.9743,102.4381
2011,Kelantan,9603,343,620,1437,7203,392,800,1819,5.593577,102.100188
2011,Terengganu,10684,274,251,349,9810,292,317,509,4.957655,102.943021
2011,Sabah,16585,350,428,467,15340,398,552,833,5.4204,116.7968
2011,Sarawak,17964,391,234,406,16933,442,346,626,2.623532,113.612634
2012,Perlis,1881,69,286,233,1293,71,323,277,6.4436,100.2166
2012,Kedah,19935,529,475,1036,17895,548,486,1074,6.072719,100.654769
2012,Pulau Pinang,37851,373,129,176,37173,400,157,244,5.2852,100.4562
2012,Perak,34714,693,564,1072,32385,753,735,1583,4.5921,101.0901
2012,Selangor,129106,1053,408,693,126952,1102,458,744,3.5199,101.5381
2012,Kuala Lumpur,61872,241,70,357,61204,249,73,365,3.139,101.6869
2012,Negeri Sembilan,22146,328,479,871,20468,352,595,1020,2.7318,102.2525
2012,Melaka,15195,222,169,406,14398,243,203,474,2.320772,102.263095
2012,Johor,62316,985,378,1263,59690,1073,454,1388,1.9344,103.3587
2012,Pahang,20554,484,238,373,19459,540,369,592,3.9743,102.4381
2012,Kelantan,9968,347,500,1560,7561,392,647,1839,5.593577,102.100188
2012,Terengganu,10861,270,264,413,9914,301,356,550,4.957655,102.943021
2012,Sabah,17446,398,516,470,16062,450,674,802,5.4204,116.7968
2012,Sarawak,18578,389,218,475,17496,443,338,702,2.623532,113.612634
2013,Perlis,1895,68,226,233,1368,72,248,278,6.4436,100.2166
2013,Kedah,20228,487,379,787,18575,517,403,881,6.072719,100.654769
2013,Pulau Pinang,39361,371,132,76,38782,381,147,94,5.2852,100.4562
2013,Perak,35408,707,439,795,33467,770,576,1006,4.5921,101.0901
2013,Selangor,135024,964,164,356,133540,1019,217,407,3.5199,101.5381
2013,Kuala Lumpur,64527,226,71,67,64163,243,75,71,3.139,101.6869
2013,Negeri Sembilan,23066,352,383,759,21572,396,502,984,2.7318,102.2525
2013,Melaka,16083,244,109,202,15528,258,145,260,2.320772,102.263095
2013,Johor,64600,1032,271,1055,62242,1128,356,1233,1.9344,103.3587
2013,Pahang,20130,505,175,356,19094,592,299,541,3.9743,102.4381
2013,Kelantan,9748,340,396,917,8095,378,524,1167,5.593577,102.100188
2013,Terengganu,10996,294,199,226,10277,320,256,323,4.957655,102.943021
2013,Sabah,17438,347,456,304,16331,420,597,585,5.4204,116.7968
2013,Sarawak,18700,371,167,390,17772,421,252,558,2.623532,113.612634
2014,Perlis,1888,58,220,268,1342,61,245,316,6.4436,100.2166
2014,Kedah,20159,495,362,863,18439,525,365,867,6.072719,100.654769
2014,Pulau Pinang,38747,355,154,167,38071,378,178,194,5.2852,100.4562
2014,Perak,35131,685,438,688,33320,750,580,928,4.5921,101.0901
2014,Selangor,137809,1027,194,301,136287,1068,232,358,3.5199,101.5381
2014,Kuala Lumpur,63535,231,142,1166,61996,238,158,1184,3.139,101.6869
2014,Negeri Sembilan,23748,346,329,689,22384,379,430,890,2.7318,102.2525
2014,Melaka,16375,222,187,131,15835,236,226,196,2.320772,102.263095
2014,Johor,64473,946,193,687,62647,1018,281,759,1.9344,103.3587
2014,Pahang,19071,472,165,313,18121,539,270,458,3.9743,102.4381
2014,Kelantan,9383,321,274,807,7981,354,346,977,5.593577,102.100188
2014,Terengganu,10326,255,194,325,9552,276,241,416,4.957655,102.943021
2014,Sabah,17693,384,443,373,16493,420,612,621,5.4204,116.7968
2014,Sarawak,17858,390,182,321,16965,432,268,434,2.623532,113.612634
2015,Perlis,1861,63,166,278,1354,65,193,340,6.4436,100.2166
2015,Kedah,22016,502,296,873,20345,530,301,884,6.072719,100.654769
2015,Pulau Pinang,39856,354,164,124,39214,360,186,160,5.2852,100.4562
2015,Perak,36736,670,595,605,34866,726,740,965,4.5921,101.0901
2015,Selangor,140957,975,190,187,139605,1028,240,218,3.5199,101.5381
2015,Kuala Lumpur,64664,242,99,460,63863,256,130,502,3.139,101.6869
2015,Negeri Sembilan,22939,334,337,690,21578,355,439,916,2.7318,102.2525
2015,Melaka,17069,227,136,63,16643,256,165,102,2.320772,102.263095
2015,Johor,67112,955,136,384,65637,1040,216,466,1.9344,103.3587
2015,Pahang,19635,477,142,301,18715,532,237,456,3.9743,102.4381
2015,Kelantan,9960,379,220,841,8520,426,308,1059,5.593577,102.100188
2015,Terengganu,10381,280,162,322,9617,307,225,411,4.957655,102.943021
2015,Sabah,17290,343,369,307,16271,392,480,544,5.4204,116.7968
2015,Sarawak,19130,392,198,298,18242,433,260,409,2.623532,113.612634
